"stimulus","Id_flow","lizard_id","clutch","sex","temp","cort","age_trial","age_euthanasia","trial","prey","t_D","motivation","region","mean_mitodensity","mean_potential","mean_ros","mean_size","mean_dnadamage","mean_peroxidation","mean_conpotential","mean_conros"
"Chemical",52,1231,"CL327_22","Male","Cold","Control",1.07277332401213,1.06284130874217,2,"Unknown",0.0919963677160642,1,"OB",-0.280677742748776,-0.2897325601153,-0.432649354957163,-1.56283437625911,2.04951746149993,0.408800826168304,-0.226522711965073,-0.56189853809867
"Chemical",52,1231,"CL327_22","Male","Cold","Control",1.07277332401213,1.06284130874217,3,"Familiar",0.580553412669052,1,"OB",-0.280677742748776,-0.2897325601153,-0.432649354957163,-1.56283437625911,2.04951746149993,0.408800826168304,-0.226522711965073,-0.56189853809867
"Chemical",53,2035,"CL550_22","Male","Hot","Control",0.357591108004044,0.35763854464784,2,"Unknown",0.341857807993856,1,"OB",-0.625001541068125,-0.540668314064459,-0.758224287471709,-1.97712289470549,-0.339154244146173,0.189030283924061,-0.383632684918768,-0.860252049744703
"Chemical",53,2035,"CL550_22","Male","Hot","Control",0.357591108004044,0.35763854464784,4,"Familiar",NA,1,"OB",-0.625001541068125,-0.540668314064459,-0.758224287471709,-1.97712289470549,-0.339154244146173,0.189030283924061,-0.383632684918768,-0.860252049744703
"Chemical",54,2492,"CL680_23","Male","Hot","CORT",-0.357591108004044,-0.347564219446492,2,"Unknown",-0.470126557795441,1,"OB",0.391750571887904,0.137772164116773,0.341765462209476,-0.282519938620577,-0.268251665395842,0.390409462106761,-0.0904558212989021,0.196774981410611
"Chemical",54,2492,"CL680_23","Male","Hot","CORT",-0.357591108004044,-0.347564219446492,4,"Familiar",0.104655747710468,1,"OB",0.391750571887904,0.137772164116773,0.341765462209476,-0.282519938620577,-0.268251665395842,0.390409462106761,-0.0904558212989021,0.196774981410611
"Chemical",55,1180,"CL315_22","Male","Cold","Control",1.27711110001444,1.26432781276912,3,"Familiar",0.482165361656635,0,"OB",-0.102815912431245,-0.302238658256327,-0.118686483442734,0.10617531013435,0.796629978105961,0.524830477827279,-0.425345688571192,-0.0782764993847188
"Chemical",55,1180,"CL315_22","Male","Cold","Control",1.27711110001444,1.26432781276912,4,"Unknown",0.538880105096459,NA,"OB",-0.102815912431245,-0.302238658256327,-0.118686483442734,0.10617531013435,0.796629978105961,0.524830477827279,-0.425345688571192,-0.0782764993847188
"Chemical",56,2212,"CL596_22","Male","Hot","CORT",0.132819554401502,0.136003390218193,1,"Unknown",0.0755022683833405,1,"OB",0.424384512431808,0.29501699670199,0.37946695505927,0.334110012012896,0.23624545174175,0.426396044017812,0.147007022618336,0.228569908712195
"Chemical",56,2212,"CL596_22","Male","Hot","CORT",0.132819554401502,0.136003390218193,4,"Familiar",0.197052793860783,1,"OB",0.424384512431808,0.29501699670199,0.37946695505927,0.334110012012896,0.23624545174175,0.426396044017812,0.147007022618336,0.228569908712195
"Chemical",57,2228,"CL600_22","Male","Cold","CORT",-0.296289775203351,-0.226672317030321,2,"Unknown",-0.242992445078374,1,"OB",-0.745308624913469,-0.731927817818052,-0.646686446704882,0.325748913825128,0.484684632919351,0.540008824510888,-0.676093098701483,-0.347814260480175
"Chemical",57,2228,"CL600_22","Male","Cold","CORT",-0.296289775203351,-0.226672317030321,3,"Familiar",0.684599112950587,1,"OB",-0.745308624913469,-0.731927817818052,-0.646686446704882,0.325748913825128,0.484684632919351,0.540008824510888,-0.676093098701483,-0.347814260480175
